"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"164","C7PT",0,1,1,1,2,4,4,123,127,0.444444444,0.75,0.991869919,17.07,0.459837398,122,0.960629921,8,0.888888888888889
"165","PTPT",0,0,2,1,2,4,16,187,203,0.888888889,0.9375,0.855614973,18.8375,9.847700535,112,0.551724138,9,1
"166","Control",0,0,0,2,2,4,15,275,290,1,1,0.876363636,26.624,12.66094545,139,0.479310345,9,1
"167","HCHC",2,0,0,2,2,4,6,118,124,1,1,0.898305085,24.14,22.74949153,14,0.112903226,7,0.777777777777778
"168","HCC7",1,1,0,2,2,4,1,37,38,0.333333333,1,0.972972973,20,7.605405405,25,0.657894737,8,0.888888888888889
"169","HCPT",1,0,1,2,2,4,13,186,199,1,0.923076923,0.887096774,17.93230769,6.007096774,141,0.708542714,9,1
"170","C7C7",0,2,0,2,2,4,3,99,102,0.666666667,1,1,25.52,8.123232323,65,0.637254902,8,0.888888888888889
"171","C7PT",0,1,1,2,2,4,16,195,211,1,0.875,0.866666667,20.9075,7.71774359,136,0.644549763,7,0.777777777777778
"172","PTPT",0,0,2,2,2,4,21,339,360,1,0.857142857,0.820058997,25.12571429,7.660176991,234,0.65,8,0.888888888888889
"173","Control",0,0,0,3,2,4,13,274,287,1,1,0.759124088,22.92,11.40029197,142,0.494773519,8,0.888888888888889
"174","HCHC",2,0,0,3,2,4,9,125,134,0.888888889,0.888888889,0.952,17.01333333,10.7872,73,0.544776119,8,0.888888888888889
"175","HCC7",1,1,0,3,2,4,5,128,133,0.666666667,1,0.9765625,26.624,10.2059375,78,0.586466165,2,0.222222222222222
"176","HCPT",1,0,1,3,2,4,11,155,166,1,1,0.967741935,25.26909091,11.98348387,82,0.493975904,7,0.777777777777778
"177","C7C7",0,2,0,3,2,4,6,152,158,0.777777778,1,0.967105263,23.56666667,2.903947368,133,0.841772152,9,1
"178","C7PT",0,1,1,3,2,4,3,18,21,0.555555556,1,1,22.76,16.55333333,6,0.285714286,6,0.666666666666667
"179","PTPT",0,0,2,3,2,4,12,213,225,1,0.916666667,0.727699531,20.52,9.931455399,133,0.591111111,8,0.888888888888889
"180","Control",0,0,0,4,2,4,14,224,238,1,0.857142857,0.776785714,16.65142857,5.806964286,170,0.714285714,9,1
"181","HCHC",2,0,0,4,2,4,8,160,168,0.777777778,0.75,0.95625,23.71,5.85825,122,0.726190476,9,1
"182","HCC7",1,1,0,4,2,4,8,114,122,0.888888889,1,0.938596491,14.57,8.44,78,0.639344262,8,0.888888888888889
"183","HCPT",1,0,1,4,2,4,11,137,148,1,0.818181818,0.897810219,18.30909091,9.696350365,86,0.581081081,5,0.555555555555556
"184","C7C7",0,2,0,4,2,4,2,16,18,0.444444444,0.5,1,24.14,27.7625,0,0,9,1
"185","C7PT",0,1,1,4,2,4,2,43,45,0.666666667,1,0.976744186,20,26.08186047,1,0.022222222,7,0.777777777777778
"186","PTPT",0,0,2,4,2,4,9,64,73,1,0.333333333,0.359375,24.21777778,23.8275,2,0.02739726,9,1
"187","Control",0,0,0,5,2,4,13,238,251,0.888888889,0.923076923,0.869747899,23.82153846,8.183865546,158,0.629482072,7,0.777777777777778
"188","HCHC",2,0,0,5,2,4,3,60,63,1,1,0.983333333,28.28,23.244,6,0.095238095,9,1
"189","HCC7",1,1,0,5,2,4,1,5,6,0.333333333,1,0.8,20,21.656,0,0,5,0.555555555555556
"190","HCPT",1,0,1,5,2,4,13,146,159,1,1,0.897260274,20.48,9.325479452,95,0.597484277,9,1
"191","C7C7",0,2,0,5,2,4,4,81,85,0.666666667,1,1,26.21,6.267160494,61,0.717647059,5,0.555555555555556
"192","C7PT",0,1,1,5,2,4,9,84,93,0.888888889,1,0.642857143,24.6,22.83428571,3,0.032258065,9,1
"193","PTPT",0,0,2,5,2,4,19,226,245,1,0.894736842,0.876106195,24.35789474,14.75893805,94,0.383673469,8,0.888888888888889
"194","Control",0,0,0,6,2,4,16,221,237,0.888888889,0.625,0.751131222,16.1225,4.63438914,182,0.767932489,3,0.333333333333333
"195","HCHC",2,0,0,6,2,4,1,17,18,0.333333333,1,0.941176471,28.28,24.46588235,2,0.111111111,9,1
"196","HCHC",2,0,0,6,2,4,1,17,18,0.333333333,1,0.941176471,28.28,24.46588235,2,0.111111111,9,1
"197","HCC7",1,1,0,6,2,4,5,49,54,0.888888889,0.8,0.959183673,24.968,21.39591837,9,0.166666667,9,1
"198","HCPT",1,0,1,6,2,4,12,167,179,0.777777778,1,0.922155689,20.11666667,10.88670659,93,0.519553073,5,0.555555555555556
"199","C7C7",0,2,0,6,2,4,1,12,13,0.666666667,0,0.916666667,28.28,19.71333333,1,0.076923077,5,0.555555555555556
"200","C7PT",0,1,1,6,2,4,1,28,29,0.444444444,1,0.928571429,28.28,25.02714286,0,0,8,0.888888888888889
